"INSTRUMENT TYPE ","SYMBOL ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","LAST PRICE ","CHNG ","%CHNG ","VOLUME (Contracts)","VALUE ","OPEN INTEREST ","UNDERLYING VALUE "
"Index Options","BANKNIFTY","26-Mar-2020","Call","20,000.00","116.00","10.95","10.42",447857,"899,744,713.00",10416,"18,481.05"
"Index Options","NIFTY","26-Mar-2020","Call","8,500.00","110.85","52.80","90.96",411800,"2,724,057,000.00",18293,"8,317.85"
"Index Options","BANKNIFTY","26-Mar-2020","Call","19,000.00","310.00","106.65","52.45",392660,"2,032,643,756.00",12419,"18,481.05"
"Index Options","NIFTY","26-Mar-2020","Call","8,000.00","420.00","206.45","96.68",286585,"5,299,314,881.25",8419,"8,317.85"
"Index Options","NIFTY","26-Mar-2020","Call","9,000.00","15.00","-3.80","-20.21",281317,"311,628,906.75",26526,"8,317.85"
"Index Options","BANKNIFTY","26-Mar-2020","Call","18,000.00","800.00","384.20","92.40",280189,"2,599,425,428.60",8094,"18,481.05"
"Index Options","NIFTY","26-Mar-2020","Put","7,500.00","29.30","-189.95","-86.64",273017,"2,007,698,763.75",20355,"8,317.85"
"Index Options","NIFTY","26-Mar-2020","Put","8,000.00","74.80","-298.75","-79.98",269620,"3,305,406,390.00",18094,"8,317.85"
"Index Futures","NIFTY","26-Mar-2020","-","-","8,354.80","504.90","6.43",254046,"153,874,900,062.00",116206,"8,317.85"
"Index Options","BANKNIFTY","26-Mar-2020","Call","21,000.00","37.00","-17.25","-31.80",248591,"214,931,778.60",13394,"18,481.05"
"Index Options","BANKNIFTY","26-Mar-2020","Call","18,500.00","500.05","218.50","77.61",246463,"1,734,557,301.40",5226,"18,481.05"
"Index Options","NIFTY","26-Mar-2020","Put","7,000.00","14.25","-101.10","-87.65",236386,"867,654,813.00",29000,"8,317.85"
"Index Options","NIFTY","26-Mar-2020","Call","8,200.00","269.20","147.10","120.48",200422,"2,650,079,895.00",3808,"8,317.85"
"Index Options","NIFTY","26-Mar-2020","Call","8,300.00","211.00","119.60","130.85",181951,"2,021,430,122.25",5161,"8,317.85"
"Index Options","NIFTY","26-Mar-2020","Put","7,800.00","47.00","-258.20","-84.60",175993,"2,018,331,722.25",9951,"8,317.85"
"Index Options","NIFTY","26-Mar-2020","Call","8,600.00","70.90","27.40","62.99",141235,"675,915,401.25",6986,"8,317.85"
"Index Futures","NIFTY","30-Apr-2020","-","-","8,398.00","544.20","6.93",139800,"85,532,226,300.00",98063,"8,317.85"
"Index Options","NIFTY","26-Mar-2020","Call","8,700.00","46.00","10.25","28.67",134171,"462,185,552.25",5299,"8,317.85"
"Index Options","NIFTY","26-Mar-2020","Call","8,400.00","156.00","84.45","118.03",132885,"1,180,816,110.00",5910,"8,317.85"
"Index Options","NIFTY","26-Mar-2020","Call","8,800.00","28.20","0.90","3.30",131077,"303,672,639.75",7835,"8,317.85"